2024-06-09 16:14:40.791405 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-09 16:17:21.232052 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-09 16:18:36.785489 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-25 13:25:38.465868 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:31:11.983560 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:33:04.980480 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:33:13.107515 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:33:25.204169 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:35:37.733329 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:36:35.862011 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:41:58.191880 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:46:47.033064 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:50:36.410159 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:50:45.370688 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
2024-06-26 07:53:51.836431 - sm-AHT-m1MBA - posix.uname_result(sysname='Darwin', nodename='sm-AHT-m1MBA', release='23.5.0', version='Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103', machine='arm64')
